No,COUNTRY ,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL 
99,LUXEMBOURG,87,77,112,78,20,17,82,177,41,29,68,79,867
,,,,,,,,,,,,,,
100,"MACEDONIA, REPUBLIC OF",44,34,34,20,13,15,38,19,26,16,16,35,310
101,MADAGASCAR,5,6,4,8,8,3,8,9,23,3,9,11,97
102,MALAWI,5,1,7,1,3,0,3,1,3,2,2,6,34
103,MALAYSIA,"1,735","1,744","1,994","1,827","1,604","2,389","1,666","2,101","1,903","1,437","2,101","2,307","22,808"
104,"MALDIVES, REPUBLIC OF","6,124","4,726","7,239","5,696","4,343","5,362","6,348","6,880","4,695","5,223","7,418","12,054","76,108"
105,"MALI, REPUBLIC OF",2,1,0,2,1,0,2,1,1,2,4,1,17
106,MALTA,47,35,68,34,13,14,53,51,56,13,38,87,509
107,"MARSHALL ISLANDS, REPUBLIC OF THE",0,1,0,0,1,0,0,1,0,0,1,0,4
108,"MAURITANIA, ISLAMIC REPUBLIC OF",1,1,1,0,0,0,0,0,0,0,0,0,3
109,"MAURITIUS, REPUBLIC OF",56,100,60,40,24,34,72,32,79,28,97,98,720
110,MEXICO,84,87,180,496,72,60,76,68,73,79,112,116,"1,503"
111,"MICRONESIA, FEDERATED STATES OF",0,1,0,0,0,0,0,0,0,1,0,1,3
112,"MOLDOVA, REPUBLIC OF",100,56,68,30,18,11,14,23,26,11,42,53,452
113,"MONACO, PRINCIPALITY OF",5,7,9,1,1,1,2,8,0,2,1,24,61
114,MONGOLIA,21,9,23,10,6,10,21,8,24,9,22,18,181
115,MONTENEGRO,17,21,14,11,11,24,8,18,17,11,65,14,231
116,"MOROCCO, KINGDOM OF",86,101,97,98,31,60,72,127,63,73,81,147,"1,036"
117,"MOZAMBIQUE, REPUBLIC OF",2,24,1,2,0,1,3,5,2,4,1,7,52
118,"MYANMAR, REPUBLIC OF THE UNION OF",372,123,172,309,113,127,230,695,159,138,372,431,"3,241"
,,,,,,,,,,,,,,
119,"NIGER,REPUBLIC OF",0,0,1,0,0,0,0,0,0,0,0,0,1
120,NAMIBIA,5,3,19,6,1,5,0,6,3,3,0,20,71
121,NAURU,0,1,0,0,0,0,,0,0,0,0,0,1
122,"NEPAL, FEDERAL DEMOCRATIC REPUBLIC OF",566,401,367,366,472,444,352,444,377,642,391,480,"5,302"
123,NETHERLANDS,"5,061","4,739","4,532","3,989","2,051","2,350","13,342","6,182","4,049","3,222","3,320","4,323","57,160"
124,NETHERLAND ANTILLES,0,0,1,0,0,0,0,0,0,0,0,0,1
125,NEW ZEALAND,989,655,"1,004","1,540",620,"1,613","1,376","1,091",923,947,"1,129","1,938","13,825"
126,NICARAGUA,4,0,5,6,1,1,2,0,1,2,3,3,28
127,NIGER,0,0,0,1,1,0,2,0,1,0,0,0,5
128,"NIGERIA, FEDERAL REPUBLIC OF",44,38,42,28,39,22,24,28,47,36,37,27,412
129,NORTH KOREA,0,2,0,0,0,0,0,0,0,0,0,0,2
130,"NORWAY, KINGDOM OF","1,851","1,722","1,784",690,511,"2,272","3,067",952,605,821,"1,090","1,852","17,217"
,,,,,,,,,,,,,,
